author,file_path,raw_filename,sha256_hash,pdf_title_raw,first_page_raw,normalized_title,canonical_title
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\Moisture barrier properties.pdf,Moisture barrier properties.pdf,9976e71f14937c3a03572dd614c92d34b6e74a0c75750fd1de301ce426c3ac6a,Moisture barrier properties of xylan composite films,,moisture barrier properties of xylan composite films,moisture barrier properties of xylan composite films
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\Myelin-specific.pdf,Myelin-specific.pdf,b78fd68f4697b16d624af0929b2b9556483ec35bc1749eb0e219793f1a6e5b4e,npgrj_NM_1975 626..633,,npgrj nm 1975 626 633,npgrj nm 1975 626 633
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\Opposing Actions of Fibroblast.pdf,Opposing Actions of Fibroblast.pdf,80a2c96a7fe9a2170fccdfb545ffabd4b04bb758151927b14718ff8d5a275040,Opposing Actions of Fibroblast and Cardiomyocyte Smad3 Signaling in the Infarcted Myocardium,,opposing actions of fibroblast and cardiomyocyte smad3 signaling in the infarcted myocardium,opposing actions of fibroblast and cardiomyocyte smad3 signaling in the infarcted myocardium
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\Phase.pdf,Phase.pdf,cfc5f6438048811be38fe1a8dab971318eff82ecb8db6d0d4e5c32d7e8b92a9e,"Phase III/IV, Randomized, Fifty‐Two–Week Study of the Efficacy and Safety of Belimumab in Patients of Black African Ancestry With Systemic Lupus Erythematosus",,phase iii iv randomized fifty two week study of the efficacy and safety of belimumab in patients of black african ancestry with systemic lupus erythematosus,phase iii iv randomized fifty two week study of the efficacy and safety of belimumab in patients of black african ancestry with systemic lupus erythematosus
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\Removal of Dyes Using.pdf,Removal of Dyes Using.pdf,b68de69d67993b69cc5cb022e099e17318179f920d090758c109803de7fb3cc1,Removal of Dyes Using Graphene-Based Composites: a Review,,removal of dyes using graphene-based composites: a review,removal of dyes using graphene-based composites: a review
Amit Saxena,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amit Saxena\Thrombospondin-1 Induction in the Diabetic Myocardium.pdf,Thrombospondin-1 Induction in the Diabetic Myocardium.pdf,b4c606a26d7a180a6cd5789882bf6c28afafae03db0a319132a112ed82381c07,Thrombospondin-1 Induction in the Diabetic Myocardium Stabilizes the Cardiac Matrix in Addition to Promoting Vascular Rarefaction Through Angiopoietin-2 Upregulation,,thrombospondin-1 induction in the diabetic myocardium stabilizes the cardiac matrix in addition to promoting vascular rarefaction through angiopoietin-2 upregulation,thrombospondin-1 induction in the diabetic myocardium stabilizes the cardiac matrix in addition to promoting vascular rarefaction through angiopoietin-2 upregulation
Amita Jain,"C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amita Jain\A comparative study of antioxidant activity, total phenolic and flavonoid contents in different parts of Helicteres isora L.pdf","A comparative study of antioxidant activity, total phenolic and flavonoid contents in different parts of Helicteres isora L.pdf",39898818e19054ca2747ff6eef20655f6c44c8113a085a6613946b203de0d5a5,10.11648.j.ajls.20140205.17,,10 11648 j ajls 20140205 17,10 11648 j ajls 20140205 17
Amita Jain,"C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amita Jain\Estimation of flavonoid, phenol content and antioxidant potential of Indian screw tree (Helicteres isora L.).pdf","Estimation of flavonoid, phenol content and antioxidant potential of Indian screw tree (Helicteres isora L.).pdf",b7f7127a0af587f058d00ebfbfd47f2f1df6d96de9ed49dbde41d75162a4a57f,"IJPSR (2009), Issue 1, Vol",,ijpsr (2009) issue 1 vol,ijpsr (2009) issue 1 vol
Amita Jain,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amita Jain\Micro-Computed tomography (CT) based assessment of dental regenerative therapy in the canine mandible model.pdf,Micro-Computed tomography (CT) based assessment of dental regenerative therapy in the canine mandible model.pdf,94024d332e90194a7ee13ee9fcd4cb9cbddae9f444bc0b9f8cd90fc8eb0e1fb7,"P. Khobragade1,2, A. Jain2, S. V. Setlur Nagesh2, S. Andreana3, R. Dziak4, S. K. Sunkara4,","Micro-Computed tomography (CT) based assessment of dental regenerative therapy in the canine mandible model P. Khobragade1,2, A. Jain2, S. V. Setlur Nagesh2, S. Andreana3, R. Dziak4, S. K. Sunkara4, S. Sunkara4, D. R. Bednarek2, S. Rudin1,2, and C. N. Ionita1,2 1Department of Biomedical Engineering, State University of New York at Buffalo 2Toshiba Stroke and Vascular Research Center, State University of New York at Buffalo 3Department of Restorative Dentistry, State University of New York at Buffalo 4Department of Oral Biology, State University of New York at Buffalo Abstract High-resolution 3D bone-tissue structure measurements may provide information critical to the understanding of the bone regeneration processes and to the bone strength assessment. Tissue engineering studies rely on such nondestructive measurements to monitor bone graft regeneration area. In this study, we measured bone yield, fractal dimension and trabecular thickness through micro-CT slices for different grafts and controls. Eight canines underwent surgery to remove a bone volume (defect) in the canine’s jaw at a total of 44 different locations. We kept 11 defects empty for control and filled the remaining ones with three regenerative materials; NanoGen (NG), a FDA-approved material (n=11), a novel NanoCalcium Sulfate (NCS) material (n=11) and NCS alginate (NCS+alg) material (n=11). After a minimum of four and eight weeks, the canines were sacrificed and the jaw samples were extracted. We used a custom-built micro-CT system to acquire the data volume and developed software to measure the bone yield, fractal dimension and trabecular thickness. The software used a segmentation algorithm based on histograms derived from volumes of interest indicated by the operator. Using bone yield and fractal dimension as indices we are able to differentiate between the control and regenerative material (p<0.005). Regenerative material NCS showed an average 63.15% bone yield improvement over the control sample, NCS+alg showed 55.55% and NanoGen showed 37.5%. The bone regeneration process and quality of bone were dependent upon the position of defect and time period of healing. This study presents one of the first quantitative comparisons using non-destructive Micro-CT analysis for bone regenerative material in a large animal with a critical defect model. Our results indicate that Micro-CT measurement could be used to monitor in-vivo bone regeneration studies for greater regenerative process understanding. 2. Introduction The work presented here is an analysis to correlate the imaging based quantitative analysis with the pathology of dental regenerative material in a canine mandible using Micro-CT. Nearly one million individuals suffer from fracture due to bone disease in the United States alone. Regenerative material based healing therapies with added nanotechnology based material are among the current trends in healing bone injuries [ 1, 2]. HHS Public Access Author manuscript Proc SPIE Int Soc Opt Eng . Author manuscript; available in PMC 2016 February 09. Published in final edited form as: Proc SPIE Int Soc Opt Eng . 2015 March 17; 9417: . doi:10.1117/12.2082173. Author Manuscript Author Manuscript Author Manuscript Author Manuscript",p khobragade1 2 a jain2 s v setlur nagesh2 s andreana3 r dziak4 s k sunkara4,p khobragade1 2 a jain2 s v setlur nagesh2 s andreana3 r dziak4 s k sunkara4
Amita Jain,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amita Jain\Quantitative comparison using Generalized Relative Object Detectability (G-ROD) metrics of an amorphous selenium detector with high resolution Microangiographic Fluoroscopes.pdf,Quantitative comparison using Generalized Relative Object Detectability (G-ROD) metrics of an amorphous selenium detector with high resolution Microangiographic Fluoroscopes.pdf,42321bd81e875ecf022e1a6febc91d14237c0104995cbebae3bdacfc861cd221,Quantitative comparison using Generalized Relative Object Detectability (G-ROD) metrics of an amorphous selenium detector with high resolution Microangiographic Fluoroscopes (MAF) and standard flat panel detectors (FPD),,quantitative comparison using generalized relative object detectability (g-rod) metrics of an amorphous selenium detector with high resolution microangiographic fluoroscopes (maf) and standard flat panel detectors (fpd),quantitative comparison using generalized relative object detectability (g-rod) metrics of an amorphous selenium detector with high resolution microangiographic fluoroscopes (maf) and standard flat panel detectors (fpd)
Amita Jain,C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amita Jain\Region-of-interest cone beam computed tomography (ROI CBCT) with a high resolution CMOS detector.pdf,Region-of-interest cone beam computed tomography (ROI CBCT) with a high resolution CMOS detector.pdf,4af11b296b59e37e3e43a7a341a15b66ea7a3c6d50892d630dd42dec3ec602c4,"A Jaina, H Takemotob, M D Silverc, S V S Nagesha, C N Ionitaa, D R Bednareka, and S","Region-of-interest cone beam computed tomography (ROI CBCT) with a high resolution CMOS detector A Jaina, H Takemotob, M D Silverc, S V S Nagesha, C N Ionitaa, D R Bednareka, and S Rudina aToshiba Stroke and Vascular Research Center, University at Buffalo, Buffalo, NY bToshiba Medical Research Institute, USA, Vernon Hills, IL cConsultant, Toshiba Medical Research Institute, USA, Vernon Hills, IL Abstract Cone beam computed tomography (CBCT) systems with rotational gantries that have standard flat panel detectors (FPD) are widely used for the 3D rendering of vascular structures using Feldkamp cone beam reconstruction algorithms. One of the inherent limitations of these systems is limited resolution (<3 lp/mm). There are systems available with higher resolution but their small FOV limits them to small animal imaging only. In this work, we report on region-of-interest (ROI) CBCT with a high resolution CMOS detector (75 μm pixels, 600 μm HR-CsI) mounted with motorized detector changer on a commercial FPD- based C-arm angiography gantry (194 μm pixels, 600 μm HL-CsI). A cylindrical CT phantom and neuro stents were imaged with both detectors. For each detector a total of 209 images were acquired in a rotational protocol. The technique parameters chosen for the FPD by the imaging system were used for the CMOS detector. The anti-scatter grid was removed and the incident scatter was kept the same for both detectors with identical collimator settings. The FPD images were reconstructed for the 10 cm x10 cm FOV and the CMOS images were reconstructed for a 3.84 cm × 3.84 cm FOV. Although the reconstructed images from the CMOS detector demonstrated comparable contrast to the FPD images, the reconstructed 3D images of the neuro stent clearly showed that the CMOS detector improved delineation of smaller objects such as the stent struts (~70 μm) compared to the FPD. Further development and the potential for substantial clinical impact are suggested. Purpose Rotational angiography has been a very effective tool for 3D reconstruction on clinical C- arm gantry systems for years [ 1-3]. These systems have the capability to provide both fluoroscopy and 3D volume reconstruction [ 4-5]. They use either x-ray image intensifiers (XII) or flat panel detectors (FPD), which have inherent limitations that put restrictions on the imaging capabilities. Depending on the detector being used, nominal resolution of these systems is less than 3 lp/mm; however, high resolution imaging capabilities are essential to visualize small vasculature structures. Due to their inherent limitations, present state-of-the- art detectors do not fulfill the criteria for optimum imaging detectors. There are systems available with higher resolution but their small field of view (FOV) limits them to small HHS Public Access Author manuscript Proc SPIE Int Soc Opt Eng . Author manuscript; available in PMC 2016 February 10. Published in final edited form as: Proc SPIE Int Soc Opt Eng . 2015 ; 9412: . doi:10.1117/12.2081450. Author Manuscript Author Manuscript Author Manuscript Author Manuscript",a jaina h takemotob m d silverc s v s nagesha c n ionitaa d r bednareka and s,a jaina h takemotob m d silverc s v s nagesha c n ionitaa d r bednareka and s
Amita Jain,"C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amita Jain\Reliability, validity, and responsiveness of the Western Ontario and McMaster Universities Osteoarthritis Index for elderly patients with a femoral neck fracture.pdf","Reliability, validity, and responsiveness of the Western Ontario and McMaster Universities Osteoarthritis Index for elderly patients with a femoral neck fracture.pdf",f745e89604de4afe51a88f169bea09f1f6a3772f11220a35f1a48c88be0caf3f,"Reliability, validity and responsiveness of the Western Ontario McMaster Osteoarthritis Index (WOMAC) in the elderly population with a femoral neck fracture",,reliability validity and responsiveness of the western ontario mcmaster osteoarthritis index (womac) in the elderly population with a femoral neck fracture,reliability validity and responsiveness of the western ontario mcmaster osteoarthritis index (womac) in the elderly population with a femoral neck fracture
Amita Jain,"C:\Users\Sufyaan\Downloads\Applied AI-Assignment 2\Dataset\Amita Jain\Understanding the Prevalence and Geographic Heterogeneity of SARS-CoV-2 Infection_Findings of the First Serosurvey in Uttar Pradesh, India.pdf","Understanding the Prevalence and Geographic Heterogeneity of SARS-CoV-2 Infection_Findings of the First Serosurvey in Uttar Pradesh, India.pdf",f7173b9d5b864bd723eb866c68783562cdebe7a18ff78672d92c32ae5c97b910,"Understanding the Prevalence and Geographic Heterogeneity of SARS-CoV-2 Infection: Findings of the First Serosurvey in Uttar Pradesh, India",,understanding the prevalence and geographic heterogeneity of sars-cov-2 infection: findings of the first serosurvey in uttar pradesh india,understanding the prevalence and geographic heterogeneity of sars-cov-2 infection: findings of the first serosurvey in uttar pradesh india
