author,paper_title,paper_count
Achyuta Krishna,proceedings of the second workshop on speech and language technologies for dravidian languages pages 151 - 157,1
Event Clusters,categorization of event clusters from twitter using term weighting schemes,1
Bhanu Murthy,categorization of event clusters from twitter using term weighting schemes,2
Bhanu Murthy,saikiranmai gorla sriharshitha v elivelli n l bhanu murthy aruna malapati,2
Operon Semanti Gho,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 271781546,1
Redox Transport Process,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 271781546,1
Telugu Named Entity,enhancing the performance of t elugu named entity,1
Lalita Bhanu Murthy Neti,enhancing the performance of t elugu named entity,2
Lalita Bhanu Murthy Neti,sai kiranmai gorla lalita bhanu murthy neti and aruna malapati,2
Kiranmai Gorla,enhancing the performance of t elugu named entity,2
Kiranmai Gorla,saikiranmai gorla sriharshitha v elivelli n l bhanu murthy aruna malapati,2
Aniketh Janardhan Reddy,sai kiranmai gorla lalita bhanu murthy neti and aruna malapati,1
Monica Adusumilli,sai kiranmai gorla lalita bhanu murthy neti and aruna malapati,1
Sai Kiranmai Gorla,sai kiranmai gorla lalita bhanu murthy neti and aruna malapati,1
Sriharshitha Velivelli,saikiranmai gorla sriharshitha v elivelli n l bhanu murthy aruna malapati,1
Bayes Classi,saikiranmai gorla sriharshitha v elivelli n l bhanu murthy aruna malapati,1
Neti Lalita Bhanu Murthy,sedtwik: segmentation-based event detection from tweets using wikipedia,1
Surender Samant,sedtwik: segmentation-based event detection from tweets using wikipedia,1
Praveen Venkateswaran,towards next-generation alert management of data centers,1
Maitreya Natu,towards next-generation alert management of data centers,1
Apache Spark,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 347271715,1
Arpit Bhardwaj,breast cancer diagnosis using genetically optimized neural network,1
Soft Computing,enhanced quantum-based neural network learning and its application to signature verification,4
Soft Computing,see discussions stats and author profiles for this publication at: https: www researchgate net publication 334503675,4
Soft Computing,international journal of soft computing and engineering (ijsce),4
Soft Computing,a solid transportation model with product blending and parameters as rough variables,4
Chandan Gautama,chandan gautama ramesh balajia sudharsan k a aruna tiwaria kapil ahujaa,1
Ramesh Balajia,chandan gautama ramesh balajia sudharsan k a aruna tiwaria kapil ahujaa,1
Aruna Tiwaria,chandan gautama ramesh balajia sudharsan k a aruna tiwaria kapil ahujaa,1
Kapil Ahujaa,chandan gautama ramesh balajia sudharsan k a aruna tiwaria kapil ahujaa,1
Minimum Variance,neunet-d-19-00582 r2 pdf,1
Embedded Deep Kernel Regularized,neunet-d-19-00582 r2 pdf,1
Chandan Gautam,corresponding author 1 on the construction of extreme learning machine for online and offline,2
Chandan Gautam,paper title (use style: paper title),2
Qian Leng,corresponding author 1 on the construction of extreme learning machine for online and offline,1
Dave Binkley,service evolution analytics: change and evolution mining of a distributed system,1
Shubhangi Chaturvedi,service evolution analytics: change and evolution mining of a distributed system,1
Debarshi Kumar Sanyal,ccis 250 - a novel qos differentiation framework for ieee 802 11 wlans: a game-theoretic approach using an optimal channel access scheme,1
Matangini Chattopadhyay,ccis 250 - a novel qos differentiation framework for ieee 802 11 wlans: a game-theoretic approach using an optimal channel access scheme,1
Samiran Chattopadhyay,ccis 250 - a novel qos differentiation framework for ieee 802 11 wlans: a game-theoretic approach using an optimal channel access scheme,1
Expected Scheduler Delay,paper title (use style: paper title),1
Enforcing Cardinality Constraint,enforcing cardinality constraint in temporal rbac,1
Sohail Rajdev,enforcing cardinality constraint in temporal rbac,1
Temporal Role Mining,enforcing cardinality constraint in temporal rbac,1
Varun Gumma,varun gumma1 barsha mitra2 soumyadeep dey3 pratik shashikantbhai patel2,1
Soumyadeep Dey,varun gumma1 barsha mitra2 soumyadeep dey3 pratik shashikantbhai patel2,1
Pratik Shashikantbhai Patel,varun gumma1 barsha mitra2 soumyadeep dey3 pratik shashikantbhai patel2,1
Sourabh Suman,varun gumma1 barsha mitra2 soumyadeep dey3 pratik shashikantbhai patel2,1
Saptarshi Das,varun gumma1 barsha mitra2 soumyadeep dey3 pratik shashikantbhai patel2,1
Vijayalakshmi Atluri,toward mining of temporal roles,1
Jaideep Vaidya,toward mining of temporal roles,1
Bhanukiran Perabathini,bhanukiran perabathini y ejder ba stu g marios kountouris m rouane debbah and alberto contey,3
Bhanukiran Perabathini,optimal area power efficiency in cellular networks,3
Bhanukiran Perabathini,physical limits of point-to-point communication systems,3
Marios Kountouris,bhanukiran perabathini y ejder ba stu g marios kountouris m rouane debbah and alberto contey,3
Marios Kountouris,optimal area power efficiency in cellular networks,3
Marios Kountouris,physical limits of point-to-point communication systems,3
Mérouane Debbah,bhanukiran perabathini y ejder ba stu g marios kountouris m rouane debbah and alberto contey,3
Mérouane Debbah,optimal area power efficiency in cellular networks,3
Mérouane Debbah,physical limits of point-to-point communication systems,3
Alberto Conte,bhanukiran perabathini y ejder ba stu g marios kountouris m rouane debbah and alberto contey,3
Alberto Conte,optimal area power efficiency in cellular networks,3
Alberto Conte,physical limits of point-to-point communication systems,3
Chao Zhang,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 337788680,1
Changhui Lin,aspl076-lin dvi,1
Vijay Nagarajan,aspl076-lin dvi,2
Vijay Nagarajan,supercop: a general correct and performance-efficient supervised memory system,2
Rajiv Gupta,aspl076-lin dvi,1
California Riverside,aspl076-lin dvi,1
Bharghava Rajaram,supercop: a general correct and performance-efficient supervised memory system,2
Bharghava Rajaram,inexact decision circuits: an application to hamming weight threshold voting,2
Marcelo Cintra,supercop: a general correct and performance-efficient supervised memory system,1
Abinesh Ramachandran,inexact decision circuits: an application to hamming weight threshold voting,1
Suresh Purini,inexact decision circuits: an application to hamming weight threshold voting,1
Govindarajulu Regeti,inexact decision circuits: an application to hamming weight threshold voting,1
Deepak Thotappa,untitled,1
Foreground Speech Segmentation,srmp deepak ver11 final doublecolumn rev1 ver2 dvi,1
Glottal Closure Instants,srmp deepak ver11 final doublecolumn rev1 ver2 dvi,1
Amartya Chowdhury,machine translation for a very low-resource language - layer freezing approach on transfer learning,1
Template Matching,vehicle number plate recognition system: a literature review and implementation using template matching,1
Hanumantha BT,viability of coffee leaf rust (hemileia vastatrix) urediniospores stored at different temperatures,1
Sreenath HL,viability of coffee leaf rust (hemileia vastatrix) urediniospores stored at different temperatures,1
Devendra Kumar Tayal,untitled,3
Devendra Kumar Tayal,crime detection and criminal identi cation in india using data,3
Devendra Kumar Tayal,microsoft word - sentifft472021 docx,3
Charu Gupta,national conference on communication technologies its impact on next generation computing ctngc 2012,2
Charu Gupta,devendra tayal shilpa sonawani gunjan ansari charu gupta international journal of,2
Arti Gupta,a tengram method based part-of-speech tagging of multi-category words,1
Sonakshi Vij,journal of automation mobile robotics intelligent systems volume 12 n 2 20183an analytical insight to investigate the research patterns,4
Sonakshi Vij,journal of automation mobile robotics intelligent systems volume 12 n 4 201811an analytical study for the role of fuzzy logic in improving,4
Sonakshi Vij,an ocr based automated method for textual analysis of questionnaires,4
Sonakshi Vij,performing opinion mining and analytical study for cashless transactions,4
Oscar Castillo,journal of automation mobile robotics intelligent systems volume 12 n 2 20183an analytical insight to investigate the research patterns,3
Oscar Castillo,journal of automation mobile robotics intelligent systems volume 12 n 4 201811an analytical study for the role of fuzzy logic in improving,3
Oscar Castillo,aci-2018 11 001 proof 22 44,3
The Role Of Fuzzy,journal of automation mobile robotics intelligent systems volume 12 n 4 201811an analytical study for the role of fuzzy logic in improving,1
Logic In Improving,journal of automation mobile robotics intelligent systems volume 12 n 4 201811an analytical study for the role of fuzzy logic in improving,1
Garima Malik,an ocr based automated method for textual analysis of questionnaires,1
Amishapriya Singh,an ocr based automated method for textual analysis of questionnaires,1
Verlag Berlin Heidelberg,prog artif intell (2014) 2:129 139,4
Verlag Berlin Heidelberg,memetic search in arti cial bee colony algorithm,4
Verlag Berlin Heidelberg,memetic comp (2013) 5:213 227,4
Verlag Berlin Heidelberg,doi 10 1007 s12293-013-0128-0,4
Satya Komaragiri,microsoft word - ijcse09-01-03-11 doc,1
Arti Jain,crime detection and criminal identi cation in india using data,3
Arti Jain,computer science 23(1) 2022 https: doi org 10 7494 csci 2022 23 1 3977,3
Arti Jain,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 271759693,3
Surbhi Arora,crime detection and criminal identi cation in india using data,1
Tushar Gupta,crime detection and criminal identi cation in india using data,1
Nikhil Tyagi,crime detection and criminal identi cation in india using data,1
Verlag London,crime detection and criminal identi cation in india using data,1
Of Computer Engg,devendra tayal shilpa sonawani gunjan ansari charu gupta international journal of,1
Shilpa Sonawani,devendra tayal shilpa sonawani gunjan ansari charu gupta international journal of,1
Gunjan Ansari,devendra tayal shilpa sonawani gunjan ansari charu gupta international journal of,1
Fuzzy Time Series Forecasting,devendra tayal shilpa sonawani gunjan ansari charu gupta international journal of,1
Kanak Meena,aci-2018 11 001 proof 22 44,1
Fourier Transform,microsoft word - sentifft472021 docx,1
Basanti Pal Nandi,microsoft word - sentifft472021 docx,1
Poonam Ahuja Narang,microsoft word - sentifft472021 docx,1
An Astute,published online march 2018 in mecs (http: www mecs -press org ),1
Poonam Rani,published online march 2018 in mecs (http: www mecs -press org ),2
Poonam Rani,microsoft word - sociocentric sna on fuzzy graph social network model docx,2
Divakar Yadav,computer science 23(1) 2022 https: doi org 10 7494 csci 2022 23 1 3977,1
Anuja Arora,computer science 23(1) 2022 https: doi org 10 7494 csci 2022 23 1 3977,1
Hindi Language,10 1007 978-3-030-25797-2 pdf,1
Sunny Rai,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 321327518,3
Sunny Rai,supervised metaphor detection using conditional random fields,3
Sunny Rai,covid is war and vaccine is weapon covid-19 metaphors in india,3
Shampa Chakraverty,supervised metaphor detection using conditional random fields,4
Shampa Chakraverty,tools and techniques for teaching computer programming: a review,4
Shampa Chakraverty,paper title (use style: paper title),4
Shampa Chakraverty,ownership and tamper detection of relational data: framework techniques and security analysis,4
Word Sense Disambiguation,proceedings of the,1
Means Clustering,proceedings of the,1
Leena Ahuja,proceedings of the,1
SciEP Productions,american journal of systems and software 201 5 vol 3 no 2 31-35,1
Varying Speed,international journal of electrical and computer engineering (ijece),1
Dilip Singh Sisodia,international journal of electrical and computer engineering (ijece),5
Dilip Singh Sisodia,agglomerative approach for identification and elimination of web robots from web server logs to extract knowledge about actual visitors,5
Dilip Singh Sisodia,clickbait detection using multiple categorisation techniques,5
Dilip Singh Sisodia,image pixel intensity and artificial neural network,5
Dilip Singh Sisodia,web usage pattern analysis through web logs: a,5
Shrish Verma,agglomerative approach for identification and elimination of web robots from web server logs to extract knowledge about actual visitors,3
Shrish Verma,image pixel intensity and artificial neural network,3
Shrish Verma,web usage pattern analysis through web logs: a,3
Om Prakash Vyas,agglomerative approach for identification and elimination of web robots from web server logs to extract knowledge about actual visitors,1
Abinash Pujahari,clickbait detection using multiple categorisation techniques,1
Deepak Singh,compositional framework for multitask learning in the identification of cleavage sites of hiv-1 protease,1
Diabetic Retinal Fundus Images,biomedical pharmacology journal vol 10(2) 615-626 (2017),1
Arti Anuragi,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 354322386,1
Image Pixel Intensity,image pixel intensity and artificial neural network,1
Deepti Sisodia,quad division prototype selection-based k-nearest neighbor classifier for click fraud detection from highly skewed user click dataset,1
Grayscale Image,a framework for hardware efficient reusable ip core for grayscale image codec,1
Anirban Sengupta,low cost optimized trojan secured schedule at behavioral level for single ampamp nested loop control data flow graphs (invited paper),3
Anirban Sengupta,low-cost obfuscated jpeg codec ip core for secure ce hardware,3
Anirban Sengupta,low-overhead robust rtl signature for dsp core,3
Cost Obfuscated,low-cost obfuscated jpeg codec ip core for secure ce hardware,1
Dipanjan Roy,low-cost obfuscated jpeg codec ip core for secure ce hardware,3
Dipanjan Roy,low-overhead robust rtl signature for dsp core,3
Dipanjan Roy,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 316749902,3
Peter Corcoran,low-cost obfuscated jpeg codec ip core for secure ce hardware,1
Dipti Mishra,deep architectures for image compression: a critical review,5
Dipti Mishra,this work has been submitted to ieee for possible publication 1,5
Dipti Mishra,dipti mishra satish kumar singhy and rajat kumar singhz,5
Dipti Mishra,2016 3rd international conference on computing for sustainable global development 16th - 18th march 2016,5
Dipti Mishra,article36,5
Satish Kumar Singh,this work has been submitted to ieee for possible publication 1,2
Satish Kumar Singh,dipti mishra satish kumar singhy and rajat kumar singhz,2
Rajat Kumar Singh,this work has been submitted to ieee for possible publication 1,2
Rajat Kumar Singh,dipti mishra satish kumar singhy and rajat kumar singhz,2
Krishna Preetham,this work has been submitted to ieee for possible publication 1,1
Lossy Medical Image Compression,dipti mishra satish kumar singhy and rajat kumar singhz,1
Bharati Vidyapeeth,2016 3rd international conference on computing for sustainable global development 16th - 18th march 2016,1
Video Surveillance,article36,2
Video Surveillance,a neuromorphic person re-identification framework for video surveillance,2
Mohamed Hashim Minver,article36,1
Bhagwan Das,article36,1
Nisha Pandey,article36,1
Shubhajit Panda,xxx -x-xxxx- xxxx -x xx xx 00 20xx ieee a comprehensive review on the,1
Mahesh Jangid,xxx -x-xxxx- xxxx -x xx xx 00 20xx ieee a comprehensive review on the,1
Ashish Jain,xxx -x-xxxx- xxxx -x xx xx 00 20xx ieee a comprehensive review on the,7
Ashish Jain,a novel cuckoo search strategy for automated cryptanalysis: a case study on the reduced complex knapsack cryptosystem,7
Ashish Jain,article,7
Ashish Jain,developing deterministic otp key generator,7
Ashish Jain,aisc 299 - cryptanalytic results on knapsack cryptosystem using binary particle swarm optimization,7
Ashish Jain,genetic algorithm for optimizing network load balance in mpls network,7
Ashish Jain,article,7
Roberto Natella,developing deterministic otp key generator,1
Cuckoo Search Strategies,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 322313469,1
Solving Combinatorial Problems,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 322313469,1
Santosh Kumar Vishwakarma,article,1
Ankit Mundra,439138 print indd,1
Sanyog Rawat,439138 print indd,1
Robert James Howlett,439138 print indd,1
Shikha Mehta,clustering algorithm for high dimensional data,8
Shikha Mehta,microsoft word - ijbic140103 agarwal 158904,8
Shikha Mehta,community detection using nature inspired,8
Shikha Mehta,omji mishra( ) pooja lodhi and shikha mehta,8
Shikha Mehta,empirical analysis of five nature-inspired algorithms on real parameter optimization problems,8
Shikha Mehta,for optimal seed selection to maximize,8
Shikha Mehta,for latency sensitive tasks in fog,8
Shikha Mehta,nature-inspired algorithms: state-of-art problems and prospects,8
Ajith Abraham,clustering algorithm for high dimensional data,1
Omji Mishra,omji mishra( ) pooja lodhi and shikha mehta,1
Pooja Lodhi,omji mishra( ) pooja lodhi and shikha mehta,1
Document Oriented No,omji mishra( ) pooja lodhi and shikha mehta,1
Parmeet Kaur,for latency sensitive tasks in fog,1
Shailja Gupta,377 http: www webology org a comparative theoretical and empirical analysis of machine,1
Manpreet Kaur,377 http: www webology org a comparative theoretical and empirical analysis of machine,2
Manpreet Kaur,text summarization through entailment-based minimum vertex cover,2
Sachin Lakra,377 http: www webology org a comparative theoretical and empirical analysis of machine,1
Yogesh Dixit,377 http: www webology org a comparative theoretical and empirical analysis of machine,1
Ahsaas Bajaj,published online april 2019 in mecs (http: www mecs -press org ),1
Shachar Mirkin,text summarization through entailment-based minimum vertex cover,1
Adarsh Singh,text summarization through entailment-based minimum vertex cover,1
Akshi Kumar,characterizing relatedness of web and requirements engineering,4
Akshi Kumar,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 299404720,4
Akshi Kumar,ontology driven software development for automated documentation,4
Akshi Kumar,m p s bhatia1 akshi kumar2 and rohit beniwal1,4
MPS Bhatia,characterizing relatedness of web and requirements engineering,1
Vikas Gupta,rohit beniwal vikas gupta manish rawat and rishabh aggarwal,1
Manish Rawat,rohit beniwal vikas gupta manish rawat and rishabh aggarwal,1
Dipika Jain,personality detection using kernel-based ensemble model for leveraging social psychology in online networks,1
Deepak Sharma,results in control and optimization 10 (2023) 100204,1
Ravi Sekhar,results in control and optimization 10 (2023) 100204,1
Pritesh Shah,results in control and optimization 10 (2023) 100204,1
Matthias Renz,results in control and optimization 10 (2023) 100204,1
Mahesh Sathavalli,ruchi mittal et al : automated cryptocurrencies prices prediction using machine learning,3
Mahesh Sathavalli,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 361720733,3
Mahesh Sathavalli,sulabh tyagi et al : role of trust in distributed agile software development teams - a light weight systematic literature review,3
Rashmi Gehib,article,1
Identifying Most Influential Cryptocurrencies,microsoft word - 93 iccm2018 docx,1
Bone Tumor,microsoft word - revised phd thesis-final-14-10-2020 docx,1
Esha Baidya Kayal,microsoft word - revised phd thesis-final-14-10-2020 docx,2
Esha Baidya Kayal,non-invasive intravoxel incoherent motion mri in prediction of histopathological response to neoadjuvant chemotherapy and survival outcome in osteosarcoma at the time of diagnosis,2
Archana Vadiraj Malagi,ivim dki for differentiation between prostate cancer and benign prostatic hyperplasia: comparison of 1 5 t vs 3 t mri,1
Deepak Sinwar,487204 1 en print indd,2
Deepak Sinwar,a survey of deep convolutional neural networks applied for prediction of plant leaf diseases,2
Geeta Rani,ijeit1412201307 99,4
Geeta Rani,a deep learning model for mass screening of covid-19,4
